65,Monkey Turn V,4491,TV,25,Jul 2004 - Dec 2004,6.88
66,One Punch Man Specials,1155,Special,6,Dec 2015 - May 2016,7.7
67,Boku no Hero Academia,743,TV,13,Apr 2016 - Jun 2016,7.89
68,Mirai Nikki: Redial,2523,OVA,1,Jun 2013 - Jun 2013,7.3
69,Honoo no Mirage: Muyou no Michi,8414,Special,1,Feb 2002 - Feb 2002,6.1
70,Peeping Life: YouTuber-kun,12648,ONA,4,Aug 2013 - Aug 2013,4.27
71,Overlord: Oukoku no Kan-tachi - Drama CD-tsuki Tokusou-ban,7861,ONA,1,Jan 2014 - Jan 2014,6.21
72,Koi to Senkyo to Chocolate: Koi Imouto!,4749,Special,1,Mar 2013 - Mar 2013,6.83
73,RahXephon: Tagen Hensoukyoku,4009,Movie,1,Apr 2003 - Apr 2003,7
74,Masuda Kousuke Gekijou Gag Manga Biyori +,4374,TV,12,Jan 2010 - Jun 2010,6.91
75,Doraemon Movie 36: Shin Nobita no Nippon Tanjou,2339,Movie,1,Mar 2016 - Mar 2016,7.34
76,11:08,10695,ONA,1,Nov 2012 - Nov 2012,5.54
77,No Game No Life: Zero,357,Movie,1,Jul 2017 - Jul 2017,8.19
78,Doraemon: Nobita's the Night Before a Wedding,3410,Movie,1,Mar 1999 - Mar 1999,7.13
79,Ganbare Douki-chan,6153,ONA,12,Sep 2021 - Dec 2021,6.54
80,Soredemo Machi wa Mawatteiru,1943,TV,12,Oct 2010 - Dec 2010,7.44
81,Reikenzan: Hoshikuzu-tachi no Utage,3845,TV,12,Jan 2016 - Mar 2016,7.04
82,100% Pascal-sensei,11462,ONA,6,Oct 2016 - Mar 2017,5.28
83,Hello Kitty no Cinderella (OVA),10148,OVA,1,Nov 2001 - Nov 2001,5.69
84,"Ququ Bucai,0,,1,,5.69
85,Padak Padak,5801,Movie,1,Jul 2012 - Jul 2012,6.61
86,Change!! Getter Robo: Sekai Saigo no Hi,1070,OVA,13,Aug 1998 - May 1999,7.73
87,Zhan Qiannian,5445,ONA,16,Jul 2022 - Oct 2022,6.68
88,Pussycat,12664,ONA,1,Dec 2008 - Dec 2008,4.19
89,Papuwa,5633,TV,26,Sep 2003 - Mar 2004,6.65
90,Kiddy Grade: Maelstrom,3931,Movie,1,Jun 2007 - Jun 2007,7.02
91,Heisei Tensai Bakabon,9254,TV,46,Jan 1990 - Dec 1990,5.92
92,Nyago Dance,12497,Movie,1,1932 - 1932,4.59
93,Jormungand: Perfect Order,740,TV,12,Oct 2012 - Dec 2012,7.9
94,Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,3429,Movie,1,Jul 2021 - Jul 2021,7.13
95,The Marginal Service,10926,TV,12,Apr 2023 - Jun 2023,5.47
96,Bakuen Campus Guardress,9260,OVA,4,May 1994 - Nov 1994,5.91
97,Murenase! Seton Gakuen,4221,TV,12,Jan 2020 - Mar 2020,6.95
98,"Taisetsu na Kazoku wo Tsutsumu,0,,12,,6.95
99,Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,4914,OVA,1,Jul 2010 - Jul 2010,6.79
100,Shirayuki Hime no Densetsu,5501,TV,52,Apr 1994 - Mar 1995,6.67
101,Suzumiya Haruhi no Shoushitsu,82,Movie,1,Feb 2010 - Feb 2010,8.61
102,Mameshiba Bangai-hen,11508,Special,11,2008 - Dec 2022,5.27
103,Mameneko,9011,TV,12,Jan 2018 - Mar 2018,5.97
104,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,408,Movie,1,Apr 2015 - Apr 2015,8.15
105,Seishun Anime Zenshuu,6443,TV,32,Apr 1986 - Dec 1986,6.5
106,Captain Tsubasa J,2632,TV,47,Oct 1994 - Dec 1995,7.28
107,Hello Kitty no Yuki no Joou,9581,OVA,1,Dec 2001 - Dec 2001,5.84
108,Cardfight!! Vanguard: will+Dress Season 2,5392,TV,12,Jan 2023 - Apr 2023,6.69
109,Tono to Issho,6527,OVA,1,Mar 2010 - Mar 2010,6.48
110,Shuangsheng Lingtan,3528,ONA,20,Aug 2016 - Jan 2017,7.11
111,PES: Peace Eco Smile,10732,ONA,7,May 2012 - Aug 2012,5.53
112,Made in Abyss,62,TV,13,Jul 2017 - Sep 2017,8.66
113,Kurokami The Animation,3420,TV,23,Jan 2009 - Jun 2009,7.13
114,Suteneko Tora-chan,10316,Movie,1,Sep 1947 - Sep 1947,5.65
115,Rerere no Tensai Bakabon,8668,TV,24,Oct 1999 - Mar 2000,6.05
