116,Fushigi na Koala Blinky,8569,TV,26,Jul 1984 - Dec 1984,6.07
117,Xi Yangyang Yu Hui Tailang: Hu Hu Sheng Wei,10978,Movie,1,Jan 2010 - Jan 2010,5.45
118,Fullmetal Alchemist: The Sacred Star of Milos,2740,Movie,1,Jul 2011 - Jul 2011,7.26
119,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,937,Movie,1,Apr 2017 - Apr 2017,7.79
120,Ajin Part 2: Shoutotsu,2935,Movie,1,May 2016 - May 2016,7.22
121,Dr. Slump: Arale-chan no Koutsuu Anzen,10327,Special,2,1983 - 1983,5.65
122,Ninja Hattori-kun Plus Perman: Chounouryoku Wars,9148,Movie,1,Mar 1984 - Mar 1984,5.94
123,Argento Soma: Hitori to Hitori,7294,Special,1,Mar 2002 - Mar 2002,6.32
124,True Tears: Raigomaru to Jibeta no Monogatari,8157,Special,1,Mar 2010 - Mar 2010,6.15
125,Tantei Gakuen Q,1062,TV,45,Apr 2003 - Mar 2004,7.73
126,Katanagatari,237,TV,12,Jan 2010 - Dec 2010,8.31
127,Ookami wa Ookami da,11892,Movie,1,1931 - 1931,5.08
128,Himitsu no Hana no Niwa,5910,ONA,1,Mar 2023 - Mar 2023,6.59
129,Ninja Hattori-kun Plus Perman: Ninja Kaijuu Jippou tai Miracle Tamago,9339,Movie,1,Mar 1985 - Mar 1985,5.9
130,Tokyo Ghoul √A,3954,TV,12,Jan 2015 - Mar 2015,7.02
131,Qiang Shen Ji: Tegong Shijie Pian,8370,ONA,12,Jun 2018 - Aug 2018,6.11
132,Hot Minute: Gudetama,10467,ONA,1,Nov 2015 - Nov 2015,5.61
133,Mahou no Star Magical Emi: Kumo Hikaru,8599,OVA,1,May 2002 - May 2002,6.06
134,"Tari Tari: Kumottari,0,,1,,6.06
135,Uchuu Kazoku Carlvinson,5890,OVA,1,Dec 1988 - Dec 1988,6.59
136,Choujin Locke: Shinsekai Sentai,9315,OVA,2,Aug 1991 - Oct 1991,5.9
137,Elite Banana Banao,10400,ONA,9,Dec 2015 - Aug 2016,5.63
138,Digimon Adventure: 20-shuunen Memorial Story,5245,ONA,5,Nov 2019 - Dec 2020,6.72
139,Irregular Hunter X: The Day of Sigma,3212,OVA,1,Dec 2005 - Dec 2005,7.17
140,Ai Tenshi Densetsu Wedding Peach DX,5510,OVA,4,Dec 1996 - Jul 1997,6.67
141,Pokemon: Mewtwo - Kakusei e no Prologue,5650,Special,1,Jul 2013 - Jul 2013,6.64
142,Yoku Wakaru Gendai Mahou,6753,TV,12,Jul 2009 - Sep 2009,6.43
143,Honoo no Alpenrose: Ai no Symphony Ongaku-hen,10208,OVA,1,-,5.68
144,Kuromi's Pretty Journey,7317,ONA,21,Feb 2023 - Mar 2023,6.32
145,Long She Yanyi,4289,ONA,16,Jan 2022 - Apr 2022,6.93
146,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,1176,Movie,1,Dec 1994 - Dec 1994,7.69
147,Legend of Basara: Shinbashi Theater,10772,Special,1,Sep 2002 - Sep 2002,5.52
148,Himitsu no Akko-chan 3,6959,TV,44,Apr 1998 - Feb 1999,6.39
149,Wooser no Sono Higurashi,7966,TV,12,Oct 2012 - Dec 2012,6.19
150,Shiri Play,12230,Movie,1,2005 - 2005,4.84
151,Neko Ramen,8212,ONA,13,Dec 2006 - Mar 2007,6.14
152,Lostorage Incited WIXOSS,5486,TV,12,Oct 2016 - Dec 2016,6.67
153,Hulaing Babies,9805,TV,12,Jan 2019 - Mar 2019,5.78
154,Urusei Yatsura Movie 4: Lum The Forever,5282,Movie,1,Feb 1986 - Feb 1986,6.72
155,Masou Gakuen HxH Specials,6172,Special,6,Sep 2016 - Feb 2017,6.54
156,One Off,6896,OVA,4,Aug 2012 - Oct 2012,6.4
157,Dragon Half,4673,OVA,2,Mar 1993 - May 1993,6.84
158,Suteki Tantei Labyrinth,5579,TV,25,Oct 2007 - Mar 2008,6.66
159,Zeonic Toyota Special Movie,8319,ONA,2,Aug 2013 - Sep 2015,6.12
160,Kidou Senshi Gundam: Tekketsu no Orphans,527,TV,25,Oct 2015 - Mar 2016,8.05
161,Hoshizora no Violin,6641,Movie,1,1994 - 1994,6.45
162,Bungou Stray Dogs 4th Season,146,TV,13,Jan 2023 - Mar 2023,8.45
163,Peeping Life,11825,TV,10,May 2009 - Aug 2009,5.12
164,Disney Tsum Tsum,10344,TV,37,Mar 2015 - 2017,5.64
165,Onegai My Melody Sukkiri♪,4378,TV,52,Apr 2007 - Mar 2008,6.91
166,.hack//G.U. Trilogy,3631,Movie,1,Dec 2007 - Dec 2007,7.08
167,Shin Chou Kyou Ryo: Condor Hero,2672,TV,26,Apr 2001 - Oct 2002,7.28
168,Aa / ii,12625,Movie,1,2014 - 2014,4.35
169,Niji no Kanata e! Shoujo Diana Monogatari,11708,Special,1,May 1986 - May 1986,5.18
170,Anima Yell!,4513,TV,12,Oct 2018 - Dec 2018,6.88
171,Vampire Knight,4507,TV,13,Apr 2008 - Jul 2008,6.88
172,Ookami-san to Shichinin no Nakama-tachi,3227,TV,12,Jul 2010 - Sep 2010,7.17
173,Pokemon Best Wishes! Hikari to Kage no Tenkyuugi,8309,Movie,1,Jul 2011 - Jul 2011,6.12
174,"Dakara Boku wa,0,,1,,6.12
175,Digimon Adventure tri. 6: Bokura no Mirai,3029,Movie,1,May 2018 - May 2018,7.2
176,Ichigeki Sacchuu!! Hoihoi-san,8734,OVA,1,Sep 2004 - Sep 2004,6.03
177,A3! Season Autumn & Winter,2625,TV,12,Oct 2020 - Dec 2020,7.28
178,Aldnoah.Zero Extra Archives,5847,Special,1,Jan 2015 - Jan 2015,6.6
179,Initial D Fifth Stage,474,TV,14,Nov 2012 - May 2013,8.09
180,Chocchan Monogatari,6215,Movie,1,Mar 1996 - Mar 1996,6.53
181,Kidou Senshi Gundam: Suisei no Majo - Prologue,781,Special,1,Jul 2022 - Jul 2022,7.87
182,Youkoso Lodoss-tou e!,8765,Movie,1,Apr 1998 - Apr 1998,6.02
183,Roll,12532,ONA,1,Aug 2014 - Aug 2014,4.55
184,Tabi wa Michizure Yo wa Nasake,11805,Movie,1,1973 - 1973,5.13
185,Little Busters! EX,1162,Special,8,Jan 2014 - Jul 2014,7.69
186,Yaoguai Mingdan 2nd Season,2081,ONA,21,Aug 2017 - Dec 2017,7.41
187,Medarot Damashii,5625,TV,39,Jul 2000 - Mar 2001,6.65
188,Sekai de Ichiban Tsuyoku Naritai! Specials,10184,Special,6,Dec 2013 - May 2014,5.68
189,Hachimitsu to Clover,594,TV,24,Apr 2005 - Sep 2005,8
190,Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,5081,Special,1,Dec 2011 - Dec 2011,6.76
191,Kidou Senshi Gundam: Uchuu Seiki Yowa,8672,Special,10,Oct 1996 - Jul 1999,6.04
192,Hidamari Sketch x ☆☆☆ Specials,920,Special,2,Oct 2010 - Oct 2010,7.8
193,Hello Kitty no Alps no Shoujo Heidi II: Klara to no Deai,10549,OVA,1,Mar 1994 - Mar 1994,5.59
194,Mitsudomoe Zouryouchuu!,1231,TV,8,Jan 2011 - Feb 2011,7.66
195,Smile Precure! Movie: Ehon no Naka wa Minna Chiguhagu!,2535,Movie,1,Oct 2012 - Oct 2012,7.3
196,Misute♡naide Daisy,8745,TV,12,Jul 1997 - Sep 1997,6.03
197,Kinnikuman: Gyakushuu! Uchuu Kakure Choujin,8673,Movie,1,Jul 1985 - Jul 1985,6.04
198,Uriko-hime to Amanojaku,11487,Movie,1,1956 - 1956,5.28
199,Zounds,11774,Movie,1,2003 - 2003,5.14
200,Chao Zhi Neng Zu Qiu,7407,TV,52,Jun 2010 - Jun 2014,6.3
201,Tokyo Disney Resort: Yume ga Kanau Basho,8618,Special,1,Mar 2012 - Mar 2012,6.06
202,Kuroshitsuji: Book of Circus,503,TV,10,Jul 2014 - Sep 2014,8.07
203,Zettai Zetsumei Dangerous Jiisan,11071,TV,33,Oct 2003 - Mar 2004,5.43
204,Kidou Senshi Gundam 00 Special Edition,1581,OVA,3,Oct 2009 - Feb 2010,7.54
205,MM! Specials,5799,Special,9,Dec 2010 - May 2011,6.61
206,Mai-HiME: Kuro no Mai/Saigo no Bansan,5776,Special,1,Jan 2010 - Jan 2010,6.62
207,Gintama Movie 1: Shinyaku Benizakura-hen,118,Movie,1,Apr 2010 - Apr 2010,8.52
208,Toaru Kagaku no Accelerator,2996,TV,12,Jul 2019 - Sep 2019,7.21
209,Detective Conan: Chase the Mysterious Comet Monster!,6950,OVA,1,Nov 2001 - Nov 2001,6.39
210,A.D. Police (TV),9258,TV,12,Apr 1999 - Jul 1999,5.91
211,Stratos 4 Advance Kanketsu-hen,4779,OVA,2,Sep 2006 - Oct 2006,6.82
212,Onegai♪My Melody Kirara★,6175,TV,52,Apr 2008 - Mar 2009,6.54
213,Choujin Locke,7243,Movie,1,Mar 1984 - Mar 1984,6.33
214,Kidou Senshi Gundam SEED Destiny Final Plus: Erabareta Mirai,2164,OVA,1,Dec 2005 - Dec 2005,7.38
215,Natsu no Shisen 1942,12495,Movie,1,2002 - 2002,4.6
216,Nekota no Koto ga Kininatte Shikatanai. (ONA),8603,ONA,4,Apr 2015 - Apr 2015,6.06
217,Pucca (TV),5636,TV,26,Sep 2006 - May 2007,6.65
218,Youjo Senki Movie: Manner Eizou,4789,Movie,1,Feb 2019 - Feb 2019,6.82
219,Saint Seiya: Meiou Hades Meikai-hen,1022,OVA,12,Dec 2005 - Feb 2007,7.75
220,K-On!!: Keikaku!,829,Special,1,Mar 2011 - Mar 2011,7.85
221,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO: Mugen no Heiretsu Sekai,5463,Special,1,Dec 2019 - Dec 2019,6.68
